qid,tid,,
9120,20,,"insert into question_tag (qid, tid) values(9120, 20);"
9121,2,,"insert into question_tag (qid, tid) values(9121, 2);"
9122,21,,"insert into question_tag (qid, tid) values(9122, 21);"
9123,25,,"insert into question_tag (qid, tid) values(9123, 25);"
9124,35,,"insert into question_tag (qid, tid) values(9124, 35);"
9125,16,,"insert into question_tag (qid, tid) values(9125, 16);"
9126,11,,"insert into question_tag (qid, tid) values(9126, 11);"
9127,18,,"insert into question_tag (qid, tid) values(9127, 18);"
9128,30,,"insert into question_tag (qid, tid) values(9128, 30);"
9129,30,,"insert into question_tag (qid, tid) values(9129, 30);"
9130,26,,"insert into question_tag (qid, tid) values(9130, 26);"
9131,30,,"insert into question_tag (qid, tid) values(9131, 30);"
9132,9,,"insert into question_tag (qid, tid) values(9132, 9);"
9133,34,,"insert into question_tag (qid, tid) values(9133, 34);"
9134,11,,"insert into question_tag (qid, tid) values(9134, 11);"
9135,15,,"insert into question_tag (qid, tid) values(9135, 15);"
9136,28,,"insert into question_tag (qid, tid) values(9136, 28);"
9137,18,,"insert into question_tag (qid, tid) values(9137, 18);"
9138,12,,"insert into question_tag (qid, tid) values(9138, 12);"
9139,33,,"insert into question_tag (qid, tid) values(9139, 33);"
9140,1,,"insert into question_tag (qid, tid) values(9140, 1);"
9141,30,,"insert into question_tag (qid, tid) values(9141, 30);"
9142,25,,"insert into question_tag (qid, tid) values(9142, 25);"
9143,14,,"insert into question_tag (qid, tid) values(9143, 14);"
9144,31,,"insert into question_tag (qid, tid) values(9144, 31);"
9145,16,,"insert into question_tag (qid, tid) values(9145, 16);"
9146,40,,"insert into question_tag (qid, tid) values(9146, 40);"
9147,39,,"insert into question_tag (qid, tid) values(9147, 39);"
9148,33,,"insert into question_tag (qid, tid) values(9148, 33);"
9149,12,,"insert into question_tag (qid, tid) values(9149, 12);"
9150,27,,"insert into question_tag (qid, tid) values(9150, 27);"
9151,30,,"insert into question_tag (qid, tid) values(9151, 30);"
9152,40,,"insert into question_tag (qid, tid) values(9152, 40);"
9153,22,,"insert into question_tag (qid, tid) values(9153, 22);"
9154,27,,"insert into question_tag (qid, tid) values(9154, 27);"
9155,7,,"insert into question_tag (qid, tid) values(9155, 7);"
9156,12,,"insert into question_tag (qid, tid) values(9156, 12);"
9157,38,,"insert into question_tag (qid, tid) values(9157, 38);"
9158,33,,"insert into question_tag (qid, tid) values(9158, 33);"
9159,29,,"insert into question_tag (qid, tid) values(9159, 29);"
9160,40,,"insert into question_tag (qid, tid) values(9160, 40);"
9161,33,,"insert into question_tag (qid, tid) values(9161, 33);"
9162,14,,"insert into question_tag (qid, tid) values(9162, 14);"
9163,21,,"insert into question_tag (qid, tid) values(9163, 21);"
9164,33,,"insert into question_tag (qid, tid) values(9164, 33);"
9165,17,,"insert into question_tag (qid, tid) values(9165, 17);"
9166,30,,"insert into question_tag (qid, tid) values(9166, 30);"
9167,34,,"insert into question_tag (qid, tid) values(9167, 34);"
9168,3,,"insert into question_tag (qid, tid) values(9168, 3);"
9169,20,,"insert into question_tag (qid, tid) values(9169, 20);"
9170,1,,"insert into question_tag (qid, tid) values(9170, 1);"
9171,30,,"insert into question_tag (qid, tid) values(9171, 30);"
9172,26,,"insert into question_tag (qid, tid) values(9172, 26);"
9173,6,,"insert into question_tag (qid, tid) values(9173, 6);"
9174,2,,"insert into question_tag (qid, tid) values(9174, 2);"
9175,8,,"insert into question_tag (qid, tid) values(9175, 8);"
9176,26,,"insert into question_tag (qid, tid) values(9176, 26);"
9177,5,,"insert into question_tag (qid, tid) values(9177, 5);"
9178,19,,"insert into question_tag (qid, tid) values(9178, 19);"
9179,6,,"insert into question_tag (qid, tid) values(9179, 6);"
9180,22,,"insert into question_tag (qid, tid) values(9180, 22);"
9181,26,,"insert into question_tag (qid, tid) values(9181, 26);"
9182,37,,"insert into question_tag (qid, tid) values(9182, 37);"
9183,2,,"insert into question_tag (qid, tid) values(9183, 2);"
9184,35,,"insert into question_tag (qid, tid) values(9184, 35);"
9185,37,,"insert into question_tag (qid, tid) values(9185, 37);"
9186,18,,"insert into question_tag (qid, tid) values(9186, 18);"
9187,23,,"insert into question_tag (qid, tid) values(9187, 23);"
9188,33,,"insert into question_tag (qid, tid) values(9188, 33);"
9189,4,,"insert into question_tag (qid, tid) values(9189, 4);"
9190,25,,"insert into question_tag (qid, tid) values(9190, 25);"
9191,9,,"insert into question_tag (qid, tid) values(9191, 9);"
9192,36,,"insert into question_tag (qid, tid) values(9192, 36);"
9193,1,,"insert into question_tag (qid, tid) values(9193, 1);"
9194,8,,"insert into question_tag (qid, tid) values(9194, 8);"
9195,41,,"insert into question_tag (qid, tid) values(9195, 41);"
9196,18,,"insert into question_tag (qid, tid) values(9196, 18);"
9197,17,,"insert into question_tag (qid, tid) values(9197, 17);"
9198,36,,"insert into question_tag (qid, tid) values(9198, 36);"
9199,26,,"insert into question_tag (qid, tid) values(9199, 26);"
9200,19,,"insert into question_tag (qid, tid) values(9200, 19);"
9201,33,,"insert into question_tag (qid, tid) values(9201, 33);"
9202,15,,"insert into question_tag (qid, tid) values(9202, 15);"
9203,11,,"insert into question_tag (qid, tid) values(9203, 11);"
9204,33,,"insert into question_tag (qid, tid) values(9204, 33);"
9205,35,,"insert into question_tag (qid, tid) values(9205, 35);"
9206,39,,"insert into question_tag (qid, tid) values(9206, 39);"
9207,29,,"insert into question_tag (qid, tid) values(9207, 29);"
9208,7,,"insert into question_tag (qid, tid) values(9208, 7);"
9209,38,,"insert into question_tag (qid, tid) values(9209, 38);"
9210,37,,"insert into question_tag (qid, tid) values(9210, 37);"
9211,28,,"insert into question_tag (qid, tid) values(9211, 28);"
9212,22,,"insert into question_tag (qid, tid) values(9212, 22);"
9213,33,,"insert into question_tag (qid, tid) values(9213, 33);"
9214,40,,"insert into question_tag (qid, tid) values(9214, 40);"
9215,2,,"insert into question_tag (qid, tid) values(9215, 2);"
9216,15,,"insert into question_tag (qid, tid) values(9216, 15);"
9217,20,,"insert into question_tag (qid, tid) values(9217, 20);"
9218,29,,"insert into question_tag (qid, tid) values(9218, 29);"
9219,35,,"insert into question_tag (qid, tid) values(9219, 35);"
9220,28,,"insert into question_tag (qid, tid) values(9220, 28);"
9221,22,,"insert into question_tag (qid, tid) values(9221, 22);"
9222,29,,"insert into question_tag (qid, tid) values(9222, 29);"
9223,15,,"insert into question_tag (qid, tid) values(9223, 15);"
9224,19,,"insert into question_tag (qid, tid) values(9224, 19);"
9225,23,,"insert into question_tag (qid, tid) values(9225, 23);"
9226,19,,"insert into question_tag (qid, tid) values(9226, 19);"
9227,29,,"insert into question_tag (qid, tid) values(9227, 29);"
9228,21,,"insert into question_tag (qid, tid) values(9228, 21);"
9229,35,,"insert into question_tag (qid, tid) values(9229, 35);"
9230,7,,"insert into question_tag (qid, tid) values(9230, 7);"
9231,14,,"insert into question_tag (qid, tid) values(9231, 14);"
9232,24,,"insert into question_tag (qid, tid) values(9232, 24);"
9233,40,,"insert into question_tag (qid, tid) values(9233, 40);"
9234,15,,"insert into question_tag (qid, tid) values(9234, 15);"
9235,25,,"insert into question_tag (qid, tid) values(9235, 25);"
9236,22,,"insert into question_tag (qid, tid) values(9236, 22);"
9237,1,,"insert into question_tag (qid, tid) values(9237, 1);"
9238,15,,"insert into question_tag (qid, tid) values(9238, 15);"
9239,33,,"insert into question_tag (qid, tid) values(9239, 33);"
9240,3,,"insert into question_tag (qid, tid) values(9240, 3);"
9241,5,,"insert into question_tag (qid, tid) values(9241, 5);"
9242,17,,"insert into question_tag (qid, tid) values(9242, 17);"
9243,5,,"insert into question_tag (qid, tid) values(9243, 5);"
9244,1,,"insert into question_tag (qid, tid) values(9244, 1);"
9245,21,,"insert into question_tag (qid, tid) values(9245, 21);"
9246,19,,"insert into question_tag (qid, tid) values(9246, 19);"
9247,31,,"insert into question_tag (qid, tid) values(9247, 31);"
9248,32,,"insert into question_tag (qid, tid) values(9248, 32);"
9249,34,,"insert into question_tag (qid, tid) values(9249, 34);"
9250,27,,"insert into question_tag (qid, tid) values(9250, 27);"
9251,24,,"insert into question_tag (qid, tid) values(9251, 24);"
9252,16,,"insert into question_tag (qid, tid) values(9252, 16);"
9253,28,,"insert into question_tag (qid, tid) values(9253, 28);"
9254,22,,"insert into question_tag (qid, tid) values(9254, 22);"
9255,1,,"insert into question_tag (qid, tid) values(9255, 1);"
9256,8,,"insert into question_tag (qid, tid) values(9256, 8);"
9257,5,,"insert into question_tag (qid, tid) values(9257, 5);"
9258,13,,"insert into question_tag (qid, tid) values(9258, 13);"
9259,40,,"insert into question_tag (qid, tid) values(9259, 40);"
9260,2,,"insert into question_tag (qid, tid) values(9260, 2);"
9261,2,,"insert into question_tag (qid, tid) values(9261, 2);"
9262,17,,"insert into question_tag (qid, tid) values(9262, 17);"
9263,18,,"insert into question_tag (qid, tid) values(9263, 18);"
9264,15,,"insert into question_tag (qid, tid) values(9264, 15);"
9265,33,,"insert into question_tag (qid, tid) values(9265, 33);"
9266,22,,"insert into question_tag (qid, tid) values(9266, 22);"
9267,2,,"insert into question_tag (qid, tid) values(9267, 2);"
9268,24,,"insert into question_tag (qid, tid) values(9268, 24);"
9269,15,,"insert into question_tag (qid, tid) values(9269, 15);"
9270,32,,"insert into question_tag (qid, tid) values(9270, 32);"
9271,26,,"insert into question_tag (qid, tid) values(9271, 26);"
9272,32,,"insert into question_tag (qid, tid) values(9272, 32);"
9273,26,,"insert into question_tag (qid, tid) values(9273, 26);"
9274,7,,"insert into question_tag (qid, tid) values(9274, 7);"
9275,30,,"insert into question_tag (qid, tid) values(9275, 30);"
9276,33,,"insert into question_tag (qid, tid) values(9276, 33);"
9277,8,,"insert into question_tag (qid, tid) values(9277, 8);"
9278,15,,"insert into question_tag (qid, tid) values(9278, 15);"
9279,16,,"insert into question_tag (qid, tid) values(9279, 16);"
9280,5,,"insert into question_tag (qid, tid) values(9280, 5);"
9281,17,,"insert into question_tag (qid, tid) values(9281, 17);"
9282,36,,"insert into question_tag (qid, tid) values(9282, 36);"
9283,41,,"insert into question_tag (qid, tid) values(9283, 41);"
9284,20,,"insert into question_tag (qid, tid) values(9284, 20);"
9285,28,,"insert into question_tag (qid, tid) values(9285, 28);"
9286,18,,"insert into question_tag (qid, tid) values(9286, 18);"
9287,32,,"insert into question_tag (qid, tid) values(9287, 32);"
9288,17,,"insert into question_tag (qid, tid) values(9288, 17);"
9289,8,,"insert into question_tag (qid, tid) values(9289, 8);"
9290,37,,"insert into question_tag (qid, tid) values(9290, 37);"
9291,23,,"insert into question_tag (qid, tid) values(9291, 23);"
9292,7,,"insert into question_tag (qid, tid) values(9292, 7);"
9293,40,,"insert into question_tag (qid, tid) values(9293, 40);"
9294,24,,"insert into question_tag (qid, tid) values(9294, 24);"
9295,19,,"insert into question_tag (qid, tid) values(9295, 19);"
9296,10,,"insert into question_tag (qid, tid) values(9296, 10);"
9297,30,,"insert into question_tag (qid, tid) values(9297, 30);"
9298,21,,"insert into question_tag (qid, tid) values(9298, 21);"
9299,5,,"insert into question_tag (qid, tid) values(9299, 5);"
9300,35,,"insert into question_tag (qid, tid) values(9300, 35);"
9301,32,,"insert into question_tag (qid, tid) values(9301, 32);"
9302,26,,"insert into question_tag (qid, tid) values(9302, 26);"
9303,1,,"insert into question_tag (qid, tid) values(9303, 1);"
9304,37,,"insert into question_tag (qid, tid) values(9304, 37);"
9305,1,,"insert into question_tag (qid, tid) values(9305, 1);"
9306,24,,"insert into question_tag (qid, tid) values(9306, 24);"
9307,1,,"insert into question_tag (qid, tid) values(9307, 1);"
9308,27,,"insert into question_tag (qid, tid) values(9308, 27);"
9309,14,,"insert into question_tag (qid, tid) values(9309, 14);"
9310,20,,"insert into question_tag (qid, tid) values(9310, 20);"
9311,23,,"insert into question_tag (qid, tid) values(9311, 23);"
9312,8,,"insert into question_tag (qid, tid) values(9312, 8);"
9313,16,,"insert into question_tag (qid, tid) values(9313, 16);"
9314,8,,"insert into question_tag (qid, tid) values(9314, 8);"
9315,3,,"insert into question_tag (qid, tid) values(9315, 3);"
9316,40,,"insert into question_tag (qid, tid) values(9316, 40);"
9317,14,,"insert into question_tag (qid, tid) values(9317, 14);"
9318,17,,"insert into question_tag (qid, tid) values(9318, 17);"
9319,34,,"insert into question_tag (qid, tid) values(9319, 34);"
9320,13,,"insert into question_tag (qid, tid) values(9320, 13);"
9321,20,,"insert into question_tag (qid, tid) values(9321, 20);"
9322,15,,"insert into question_tag (qid, tid) values(9322, 15);"
9323,6,,"insert into question_tag (qid, tid) values(9323, 6);"
9324,29,,"insert into question_tag (qid, tid) values(9324, 29);"
9325,30,,"insert into question_tag (qid, tid) values(9325, 30);"
9326,4,,"insert into question_tag (qid, tid) values(9326, 4);"
9327,25,,"insert into question_tag (qid, tid) values(9327, 25);"
9328,37,,"insert into question_tag (qid, tid) values(9328, 37);"
9329,28,,"insert into question_tag (qid, tid) values(9329, 28);"
9330,15,,"insert into question_tag (qid, tid) values(9330, 15);"
9331,39,,"insert into question_tag (qid, tid) values(9331, 39);"
9332,36,,"insert into question_tag (qid, tid) values(9332, 36);"
9333,31,,"insert into question_tag (qid, tid) values(9333, 31);"
9334,20,,"insert into question_tag (qid, tid) values(9334, 20);"
9335,20,,"insert into question_tag (qid, tid) values(9335, 20);"
9336,28,,"insert into question_tag (qid, tid) values(9336, 28);"
9337,25,,"insert into question_tag (qid, tid) values(9337, 25);"
9338,39,,"insert into question_tag (qid, tid) values(9338, 39);"
9339,14,,"insert into question_tag (qid, tid) values(9339, 14);"
9340,10,,"insert into question_tag (qid, tid) values(9340, 10);"
9341,39,,"insert into question_tag (qid, tid) values(9341, 39);"
9342,7,,"insert into question_tag (qid, tid) values(9342, 7);"
9343,7,,"insert into question_tag (qid, tid) values(9343, 7);"
9344,1,,"insert into question_tag (qid, tid) values(9344, 1);"
9345,15,,"insert into question_tag (qid, tid) values(9345, 15);"
9346,14,,"insert into question_tag (qid, tid) values(9346, 14);"
9347,35,,"insert into question_tag (qid, tid) values(9347, 35);"
9348,28,,"insert into question_tag (qid, tid) values(9348, 28);"
9349,1,,"insert into question_tag (qid, tid) values(9349, 1);"
9350,31,,"insert into question_tag (qid, tid) values(9350, 31);"
9351,26,,"insert into question_tag (qid, tid) values(9351, 26);"
9352,35,,"insert into question_tag (qid, tid) values(9352, 35);"
9353,22,,"insert into question_tag (qid, tid) values(9353, 22);"
9354,21,,"insert into question_tag (qid, tid) values(9354, 21);"
9355,22,,"insert into question_tag (qid, tid) values(9355, 22);"
9356,21,,"insert into question_tag (qid, tid) values(9356, 21);"
9357,22,,"insert into question_tag (qid, tid) values(9357, 22);"
9358,18,,"insert into question_tag (qid, tid) values(9358, 18);"
9359,4,,"insert into question_tag (qid, tid) values(9359, 4);"
9360,23,,"insert into question_tag (qid, tid) values(9360, 23);"
9361,40,,"insert into question_tag (qid, tid) values(9361, 40);"
9362,16,,"insert into question_tag (qid, tid) values(9362, 16);"
9363,40,,"insert into question_tag (qid, tid) values(9363, 40);"
9364,22,,"insert into question_tag (qid, tid) values(9364, 22);"
9365,3,,"insert into question_tag (qid, tid) values(9365, 3);"
9366,19,,"insert into question_tag (qid, tid) values(9366, 19);"
9367,3,,"insert into question_tag (qid, tid) values(9367, 3);"
9368,25,,"insert into question_tag (qid, tid) values(9368, 25);"
9369,6,,"insert into question_tag (qid, tid) values(9369, 6);"
9370,41,,"insert into question_tag (qid, tid) values(9370, 41);"
9371,5,,"insert into question_tag (qid, tid) values(9371, 5);"
9372,29,,"insert into question_tag (qid, tid) values(9372, 29);"
9373,23,,"insert into question_tag (qid, tid) values(9373, 23);"
9374,18,,"insert into question_tag (qid, tid) values(9374, 18);"
9375,33,,"insert into question_tag (qid, tid) values(9375, 33);"
9376,34,,"insert into question_tag (qid, tid) values(9376, 34);"
9377,13,,"insert into question_tag (qid, tid) values(9377, 13);"
9378,14,,"insert into question_tag (qid, tid) values(9378, 14);"
9379,20,,"insert into question_tag (qid, tid) values(9379, 20);"
9380,12,,"insert into question_tag (qid, tid) values(9380, 12);"
9381,18,,"insert into question_tag (qid, tid) values(9381, 18);"
9382,26,,"insert into question_tag (qid, tid) values(9382, 26);"
9383,4,,"insert into question_tag (qid, tid) values(9383, 4);"
9384,4,,"insert into question_tag (qid, tid) values(9384, 4);"
9385,41,,"insert into question_tag (qid, tid) values(9385, 41);"
9386,37,,"insert into question_tag (qid, tid) values(9386, 37);"
9387,12,,"insert into question_tag (qid, tid) values(9387, 12);"
9388,31,,"insert into question_tag (qid, tid) values(9388, 31);"
9389,24,,"insert into question_tag (qid, tid) values(9389, 24);"
9390,38,,"insert into question_tag (qid, tid) values(9390, 38);"
9391,27,,"insert into question_tag (qid, tid) values(9391, 27);"
9392,19,,"insert into question_tag (qid, tid) values(9392, 19);"
9393,2,,"insert into question_tag (qid, tid) values(9393, 2);"
9394,37,,"insert into question_tag (qid, tid) values(9394, 37);"
9395,25,,"insert into question_tag (qid, tid) values(9395, 25);"
9396,40,,"insert into question_tag (qid, tid) values(9396, 40);"
9397,23,,"insert into question_tag (qid, tid) values(9397, 23);"
9398,15,,"insert into question_tag (qid, tid) values(9398, 15);"
9399,36,,"insert into question_tag (qid, tid) values(9399, 36);"
9400,36,,"insert into question_tag (qid, tid) values(9400, 36);"
9401,17,,"insert into question_tag (qid, tid) values(9401, 17);"
9402,16,,"insert into question_tag (qid, tid) values(9402, 16);"
9403,30,,"insert into question_tag (qid, tid) values(9403, 30);"
9404,5,,"insert into question_tag (qid, tid) values(9404, 5);"
9405,13,,"insert into question_tag (qid, tid) values(9405, 13);"
9406,17,,"insert into question_tag (qid, tid) values(9406, 17);"
9407,35,,"insert into question_tag (qid, tid) values(9407, 35);"
9408,21,,"insert into question_tag (qid, tid) values(9408, 21);"
9409,9,,"insert into question_tag (qid, tid) values(9409, 9);"
9410,34,,"insert into question_tag (qid, tid) values(9410, 34);"
9411,19,,"insert into question_tag (qid, tid) values(9411, 19);"
9412,32,,"insert into question_tag (qid, tid) values(9412, 32);"
9413,38,,"insert into question_tag (qid, tid) values(9413, 38);"
9414,26,,"insert into question_tag (qid, tid) values(9414, 26);"
9415,7,,"insert into question_tag (qid, tid) values(9415, 7);"
9416,21,,"insert into question_tag (qid, tid) values(9416, 21);"
9417,12,,"insert into question_tag (qid, tid) values(9417, 12);"
9418,6,,"insert into question_tag (qid, tid) values(9418, 6);"
9419,41,,"insert into question_tag (qid, tid) values(9419, 41);"
9420,10,,"insert into question_tag (qid, tid) values(9420, 10);"
9421,9,,"insert into question_tag (qid, tid) values(9421, 9);"
9422,27,,"insert into question_tag (qid, tid) values(9422, 27);"
9423,11,,"insert into question_tag (qid, tid) values(9423, 11);"
9424,20,,"insert into question_tag (qid, tid) values(9424, 20);"
9425,35,,"insert into question_tag (qid, tid) values(9425, 35);"
9426,16,,"insert into question_tag (qid, tid) values(9426, 16);"
9427,1,,"insert into question_tag (qid, tid) values(9427, 1);"
9428,41,,"insert into question_tag (qid, tid) values(9428, 41);"
9429,32,,"insert into question_tag (qid, tid) values(9429, 32);"
9430,25,,"insert into question_tag (qid, tid) values(9430, 25);"
9431,39,,"insert into question_tag (qid, tid) values(9431, 39);"
9432,1,,"insert into question_tag (qid, tid) values(9432, 1);"
9433,8,,"insert into question_tag (qid, tid) values(9433, 8);"
9434,17,,"insert into question_tag (qid, tid) values(9434, 17);"
9435,22,,"insert into question_tag (qid, tid) values(9435, 22);"
9436,17,,"insert into question_tag (qid, tid) values(9436, 17);"
9437,36,,"insert into question_tag (qid, tid) values(9437, 36);"
9438,4,,"insert into question_tag (qid, tid) values(9438, 4);"
9439,41,,"insert into question_tag (qid, tid) values(9439, 41);"
9440,38,,"insert into question_tag (qid, tid) values(9440, 38);"
9441,25,,"insert into question_tag (qid, tid) values(9441, 25);"
9442,16,,"insert into question_tag (qid, tid) values(9442, 16);"
9443,24,,"insert into question_tag (qid, tid) values(9443, 24);"
9444,20,,"insert into question_tag (qid, tid) values(9444, 20);"
9445,38,,"insert into question_tag (qid, tid) values(9445, 38);"
9446,35,,"insert into question_tag (qid, tid) values(9446, 35);"
9447,11,,"insert into question_tag (qid, tid) values(9447, 11);"
9448,20,,"insert into question_tag (qid, tid) values(9448, 20);"
9449,22,,"insert into question_tag (qid, tid) values(9449, 22);"
9450,11,,"insert into question_tag (qid, tid) values(9450, 11);"
9451,15,,"insert into question_tag (qid, tid) values(9451, 15);"
9452,39,,"insert into question_tag (qid, tid) values(9452, 39);"
9453,25,,"insert into question_tag (qid, tid) values(9453, 25);"
9454,15,,"insert into question_tag (qid, tid) values(9454, 15);"
9455,41,,"insert into question_tag (qid, tid) values(9455, 41);"
9456,10,,"insert into question_tag (qid, tid) values(9456, 10);"
9457,28,,"insert into question_tag (qid, tid) values(9457, 28);"
9458,9,,"insert into question_tag (qid, tid) values(9458, 9);"
9459,36,,"insert into question_tag (qid, tid) values(9459, 36);"
9460,9,,"insert into question_tag (qid, tid) values(9460, 9);"
9461,36,,"insert into question_tag (qid, tid) values(9461, 36);"
9462,23,,"insert into question_tag (qid, tid) values(9462, 23);"
9463,40,,"insert into question_tag (qid, tid) values(9463, 40);"
9464,4,,"insert into question_tag (qid, tid) values(9464, 4);"
9465,40,,"insert into question_tag (qid, tid) values(9465, 40);"
9466,2,,"insert into question_tag (qid, tid) values(9466, 2);"
9467,23,,"insert into question_tag (qid, tid) values(9467, 23);"
9468,22,,"insert into question_tag (qid, tid) values(9468, 22);"
9469,38,,"insert into question_tag (qid, tid) values(9469, 38);"
9470,2,,"insert into question_tag (qid, tid) values(9470, 2);"
9471,18,,"insert into question_tag (qid, tid) values(9471, 18);"
9472,12,,"insert into question_tag (qid, tid) values(9472, 12);"
9473,39,,"insert into question_tag (qid, tid) values(9473, 39);"
9474,32,,"insert into question_tag (qid, tid) values(9474, 32);"
9475,33,,"insert into question_tag (qid, tid) values(9475, 33);"
9476,13,,"insert into question_tag (qid, tid) values(9476, 13);"
9477,28,,"insert into question_tag (qid, tid) values(9477, 28);"
9478,35,,"insert into question_tag (qid, tid) values(9478, 35);"
9479,39,,"insert into question_tag (qid, tid) values(9479, 39);"
9480,10,,"insert into question_tag (qid, tid) values(9480, 10);"
9481,2,,"insert into question_tag (qid, tid) values(9481, 2);"
9482,26,,"insert into question_tag (qid, tid) values(9482, 26);"
9483,35,,"insert into question_tag (qid, tid) values(9483, 35);"
9484,7,,"insert into question_tag (qid, tid) values(9484, 7);"
9485,23,,"insert into question_tag (qid, tid) values(9485, 23);"
9486,26,,"insert into question_tag (qid, tid) values(9486, 26);"
9487,41,,"insert into question_tag (qid, tid) values(9487, 41);"
9488,3,,"insert into question_tag (qid, tid) values(9488, 3);"
9489,27,,"insert into question_tag (qid, tid) values(9489, 27);"
9490,22,,"insert into question_tag (qid, tid) values(9490, 22);"
9491,30,,"insert into question_tag (qid, tid) values(9491, 30);"
9492,23,,"insert into question_tag (qid, tid) values(9492, 23);"
9493,22,,"insert into question_tag (qid, tid) values(9493, 22);"
9494,41,,"insert into question_tag (qid, tid) values(9494, 41);"
9495,4,,"insert into question_tag (qid, tid) values(9495, 4);"
9496,24,,"insert into question_tag (qid, tid) values(9496, 24);"
9497,27,,"insert into question_tag (qid, tid) values(9497, 27);"
9498,17,,"insert into question_tag (qid, tid) values(9498, 17);"
9499,12,,"insert into question_tag (qid, tid) values(9499, 12);"
9500,39,,"insert into question_tag (qid, tid) values(9500, 39);"
9501,40,,"insert into question_tag (qid, tid) values(9501, 40);"
9502,38,,"insert into question_tag (qid, tid) values(9502, 38);"
9503,24,,"insert into question_tag (qid, tid) values(9503, 24);"
9504,5,,"insert into question_tag (qid, tid) values(9504, 5);"
9505,12,,"insert into question_tag (qid, tid) values(9505, 12);"
9506,40,,"insert into question_tag (qid, tid) values(9506, 40);"
9507,39,,"insert into question_tag (qid, tid) values(9507, 39);"
9508,8,,"insert into question_tag (qid, tid) values(9508, 8);"
9509,2,,"insert into question_tag (qid, tid) values(9509, 2);"
9510,15,,"insert into question_tag (qid, tid) values(9510, 15);"
9511,40,,"insert into question_tag (qid, tid) values(9511, 40);"
9512,38,,"insert into question_tag (qid, tid) values(9512, 38);"
9513,13,,"insert into question_tag (qid, tid) values(9513, 13);"
9514,12,,"insert into question_tag (qid, tid) values(9514, 12);"
9515,22,,"insert into question_tag (qid, tid) values(9515, 22);"
9516,22,,"insert into question_tag (qid, tid) values(9516, 22);"
9517,8,,"insert into question_tag (qid, tid) values(9517, 8);"
9518,26,,"insert into question_tag (qid, tid) values(9518, 26);"
9519,24,,"insert into question_tag (qid, tid) values(9519, 24);"
9520,17,,"insert into question_tag (qid, tid) values(9520, 17);"
9521,18,,"insert into question_tag (qid, tid) values(9521, 18);"
9522,31,,"insert into question_tag (qid, tid) values(9522, 31);"
9523,19,,"insert into question_tag (qid, tid) values(9523, 19);"
9524,22,,"insert into question_tag (qid, tid) values(9524, 22);"
9525,27,,"insert into question_tag (qid, tid) values(9525, 27);"
9526,38,,"insert into question_tag (qid, tid) values(9526, 38);"
9527,38,,"insert into question_tag (qid, tid) values(9527, 38);"
9528,17,,"insert into question_tag (qid, tid) values(9528, 17);"
9529,4,,"insert into question_tag (qid, tid) values(9529, 4);"
9530,9,,"insert into question_tag (qid, tid) values(9530, 9);"
9531,12,,"insert into question_tag (qid, tid) values(9531, 12);"
9532,4,,"insert into question_tag (qid, tid) values(9532, 4);"
9533,33,,"insert into question_tag (qid, tid) values(9533, 33);"
9534,29,,"insert into question_tag (qid, tid) values(9534, 29);"
9535,27,,"insert into question_tag (qid, tid) values(9535, 27);"
9536,9,,"insert into question_tag (qid, tid) values(9536, 9);"
9537,15,,"insert into question_tag (qid, tid) values(9537, 15);"
9538,14,,"insert into question_tag (qid, tid) values(9538, 14);"
9539,28,,"insert into question_tag (qid, tid) values(9539, 28);"
9540,24,,"insert into question_tag (qid, tid) values(9540, 24);"
9541,17,,"insert into question_tag (qid, tid) values(9541, 17);"
9542,25,,"insert into question_tag (qid, tid) values(9542, 25);"
9543,19,,"insert into question_tag (qid, tid) values(9543, 19);"
9544,16,,"insert into question_tag (qid, tid) values(9544, 16);"
9545,30,,"insert into question_tag (qid, tid) values(9545, 30);"
9546,4,,"insert into question_tag (qid, tid) values(9546, 4);"
9547,24,,"insert into question_tag (qid, tid) values(9547, 24);"
9548,15,,"insert into question_tag (qid, tid) values(9548, 15);"
9549,34,,"insert into question_tag (qid, tid) values(9549, 34);"
9550,15,,"insert into question_tag (qid, tid) values(9550, 15);"
9551,19,,"insert into question_tag (qid, tid) values(9551, 19);"
9552,37,,"insert into question_tag (qid, tid) values(9552, 37);"
9553,5,,"insert into question_tag (qid, tid) values(9553, 5);"
9554,13,,"insert into question_tag (qid, tid) values(9554, 13);"
9555,35,,"insert into question_tag (qid, tid) values(9555, 35);"
9556,13,,"insert into question_tag (qid, tid) values(9556, 13);"
9557,10,,"insert into question_tag (qid, tid) values(9557, 10);"
9558,21,,"insert into question_tag (qid, tid) values(9558, 21);"
9559,34,,"insert into question_tag (qid, tid) values(9559, 34);"
9560,12,,"insert into question_tag (qid, tid) values(9560, 12);"
9561,11,,"insert into question_tag (qid, tid) values(9561, 11);"
9562,18,,"insert into question_tag (qid, tid) values(9562, 18);"
9563,4,,"insert into question_tag (qid, tid) values(9563, 4);"
9564,23,,"insert into question_tag (qid, tid) values(9564, 23);"
9565,2,,"insert into question_tag (qid, tid) values(9565, 2);"
9566,3,,"insert into question_tag (qid, tid) values(9566, 3);"
9567,39,,"insert into question_tag (qid, tid) values(9567, 39);"
9568,36,,"insert into question_tag (qid, tid) values(9568, 36);"
9569,32,,"insert into question_tag (qid, tid) values(9569, 32);"
9570,4,,"insert into question_tag (qid, tid) values(9570, 4);"
